"Species group","Common name","Scientific name","Wild-caught or farmed","Edible fraction","Low GHG","High GHG","Median GHG","5-nutrient density, %"
"Whitefish","Greenland halibut","Reinhardtius hippoglossoides","Wild",52.6,2.2,4.3,3.25,128
 ,"Groupers","Epinephelus","Wild",46.3,2.2,4.3,3.25,137
"Pelagic (small)","Gulf menhaden","Brevoortia patronus","Wild",60,0.2,0.2,0.2,187
"Whitefish","Haddock","Melanogrammus aeglefinus","Wild",49.3,3.6,4.2,3.9,159
"Pelagic (small)","Indian oil sardine","Sardinella longiceps","Wild",65,0.6,0.7,0.65,196
"Pelagic (large)","Japanese amberjack","Seriola quinqueradiata","Farmed",46.3,2,4,3,154
"Whitefish","Ling","Molva molva","Wild",52.5,1.9,4.3,3.1,143
"Bivalve","Mediterranean mussel","Mytilus galloprovincialis","Farmed",25,0.02,0.2,0.11,240
"Tilapia","Nile tilapia","Oreochromis niloticus","Farmed",27.5,2.9,12,7.45,185
"Whitefish","North Pacific hake","Merluccius productus","Wild",51,1.6,4.3,2.95,136
"Crustacean","Northern prawn","Pandalus borealis","Wild",35.5,4,6.7,5.35,179
"Crustacean","Norway lobster","Nephrops norvegicus","Wild",25,4.5,26,15.25,159
"Bivalve","Ocean quahog","Arctica islandica","Wild",25,0.2,0.8,0.5,170
"Tuna","Pacific bluefin tuna","Thunnus orientalis","Farmed",60.4,4.7,6.8,5.75,200
"Tuna","Pacific bluefin tuna","Thunnus orientalis","Wild",60.4,5,10.2,7.6,200
"Whitefish","Pacific cod","Gadus macrocephalus","Wild",39.4,1.4,4.3,2.85,132
"Bivalve","Pacific cupped oyster","Crassostrea gigas","Farmed",10,0.2,1,0.6,214
"Bivalve","Pacific cupped oyster","Crassostrea gigas","Wild",10,1.2,3.2,2.2,214
"Whitefish","Pacific halibut","Hippoglossus stenolepis","Wild",61.8,3.6,6.7,5.15,143
"Pelagic (small)","Pacific herring","Clupea pallasii pallasii","Wild",60,0.6,2.6,1.6,193
"Freshwater fish","Pangasius/Basa","Pangasius bocourti","Farmed",34,1.4,24.6,13,166
