Food Item ID,Code,Subgroup,"Country, region",Type,ISSCAAP,3_alpha,Food name in own language,Food name in English,Processing,Scientific name,ASFIS English name,ASFIS Scientific name,Season,Other,n,Comments on data processing/methods,Publication year,BiblioID,Compiler,Latest revision in version,EDIBLE,PROTCNT(g),PROTCNP(g),PROT-(g),CA(mg),FE(mg),SE(mcg),ZN(mg),VITA_RAE(mcg),VITA-(mcg),FAPUN3(g),FAPUCN3(g),FAPULCCN3(g),FAN3(g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,as used in version 1.0 and 1.1,,sampling place,"C: Cultivar, V: Variety, BC: Breeding Clone, B: Breed, W: Wild, U: Underutilized",,,,,"r: raw, d: dried, p: processed",,,,sampling season,additional information on factors influencing the nutrient composition,number of independent analytical samples,,,,,,edible portion coefficient,"protein, total; calculated from total nitrogen ","protein, total; calculated from protein nitrogen","protein, total; method of determination unknown or variable",calcium,"iron, total",selenium,zink,Total vitamin A (mcg RAE),vitamin A; method of determination unknown,"fatty acids, total n-3 polyunsaturated","fatty acids, total n-3 polyunsaturated in cis configuration","fatty acids, total n-3 long-chain polyunsaturated in cis configuration","fatty acid, total n-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901027,0901027,Crustacean,"Russia, Okhotsk Sea, northeastern coast of Sakhalin Island",W,42,PCR,,"Crab, wild, male, hepatopancreas, raw",r,Chionoecetes japonicus,Tanner crabs nei,Chionoecetes spp,Summer-Autumn 2005,,1,FA converted using XFA,2009,fi165,DR,2.0,,,,,,,,,,,2.1136386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901037,0901037,Crustacean,"Greece, Northern Aegean Sea",W,45,TGS,Gampari,"Caramote prawn, wild, edible flesh, raw",r,Penaeus kerathurus,Caramote prawn,Penaeus kerathurus,"Aug, Sep 2006",,,FA converted using XFA; AA expressed per DM - conversion to FW,2009,fi168,DR,2.0,,15.6,,,,,,,,,0.4908918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901038,0901038,Crustacean,"Korea, Tongyoung",W,45,PRA,,"Northern pink shrimp, wild, muscle flesh, raw",r,Pandalus borealis,Northern prawn,Pandalus borealis,,"mean body length and weight of shrimp: 11.2cm, 13.1g",,FA converted using XFA,2003,fi171,DR,2.0,0.481,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901039,0901039,Crustacean,"Korea, Tongyoung",W,45,TRV,,"Spotted shrimp, wild, muscle flesh, raw",r,Trachypenaeus curvirostris,Southern rough shrimp,Trachypenaeus curvirostris,,"mean body length and weight of shrimp: 9cm, 8.7g",,FA converted using XFA,2003,fi171,DR,2.0,0.483,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901040,0901040,Crustacean,"Turkey, off Karataş, east Mediterranean Sea",W,45,TIP,,"Green tiger shrimp, wild, edible muscle tissue, raw",r,Penaeus semisulcatus,Green tiger prawn,Penaeus semisulcatus,Jan 2001,"mean length and weight: 18.93cm, 63.93g",3,,2006,fi172,DR,2.0,,20.58,,,59.5,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901041,0901041,Crustacean,"Turkey, off Karataş, east Mediterranean Sea",W,45,TIP,,"Green tiger shrimp, wild, edible muscle tissue, raw",r,Penaeus semisulcatus,Green tiger prawn,Penaeus semisulcatus,Apr 2001,"mean length and weight: 18.93cm, 63.93g",3,,2006,fi172,DR,2.0,,20.44,,,60.3,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901042,0901042,Crustacean,"Turkey, off Karataş, east Mediterranean Sea",W,45,TIP,,"Green tiger shrimp, wild, edible muscle tissue, raw",r,Penaeus semisulcatus,Green tiger prawn,Penaeus semisulcatus,Jul 2001,"mean length and weight: 18.93cm, 63.93g",3,,2006,fi172,DR,2.0,,21.7,,,60.3,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901043,0901043,Crustacean,"Turkey, off Karataş, east Mediterranean Sea",W,45,TIP,,"Green tiger shrimp, wild, edible muscle tissue, raw",r,Penaeus semisulcatus,Green tiger prawn,Penaeus semisulcatus,Oct 2001,"mean length and weight: 18.93cm, 63.93g",3,,2006,fi172,DR,2.0,,20.48,,,61.1,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901044,0901044,Crustacean,"Turkey, off Karataş, east Mediterranean Sea",W,45,MPN,,"Speckled shrimp, wild, edible muscle tissue, raw",r,Metapenaeus monoceros,Speckled shrimp,Metapenaeus monoceros,Jan 2001,"mean length and weight of shrimp: 12.67cm, 16.49g",3,,2006,fi172,DR,2.0,,21.06,,,62.4,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0901045,0901045,Crustacean,"Turkey, off Karataş, east Mediterranean Sea",W,45,MPN,,"Speckled shrimp, wild, edible muscle tissue, raw",r,Metapenaeus monoceros,Speckled shrimp,Metapenaeus monoceros,Apr 2001,"mean length and weight of shrimp: 12.67cm, 16.49g",3,,2006,fi172,DR,2.0,,21.31,,,60.4,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
