"species","prop_imported","source","catch","tot","id","farmed_wild","mid","nut_score"
"Freshwater catfish",0.967145992486171,"imported",15229.923,15747.2844,"Freshwater catfish_imported",NA,NA,NA
"Freshwater catfish",0.967145992486171,"farmed",0,15747.2844,"Freshwater catfish_farmed",NA,NA,NA
"Gurnard and Latchet",0,"wild",1053.2208785,1053.2208785,"Gurnard and Latchet_wild",NA,NA,NA
"Gurnard and Latchet",0,"imported",0,1053.2208785,"Gurnard and Latchet_imported",NA,NA,NA
"Gurnard and Latchet",0,"farmed",0,1053.2208785,"Gurnard and Latchet_farmed",NA,NA,NA
"Haddock",0.612467212492763,"wild",32482.3992011,83818.4542011,"Haddock_wild","Wild",3.9,159.496495482307
"Haddock",0.612467212492763,"imported",51336.055,83818.4542011,"Haddock_imported",NA,NA,NA
"Haddock",0.612467212492763,"farmed",0,83818.4542011,"Haddock_farmed",NA,NA,NA
"Hake",0.196706086748598,"wild",10969.465922998,13655.606922998,"Hake_wild",NA,NA,NA
"Hake",0.196706086748598,"imported",2686.141,13655.606922998,"Hake_imported",NA,NA,NA
"Hake",0.196706086748598,"farmed",0,13655.606922998,"Hake_farmed",NA,NA,NA
"Herring",0.0791451725281055,"wild",65427.6254756,71050.9664756,"Herring_wild","Wild",0.3,199.859579570979
"Herring",0.0791451725281055,"imported",5623.341,71050.9664756,"Herring_imported",NA,NA,NA
"Herring",0.0791451725281055,"farmed",0,71050.9664756,"Herring_farmed",NA,NA,NA
"Horse mackerel, Atlantic",0.0143511111528684,"wild",8389.3173735,8511.4663735,"Horse mackerel, Atlantic_wild",NA,NA,NA
"Horse mackerel, Atlantic",0.0143511111528684,"imported",122.149,8511.4663735,"Horse mackerel, Atlantic_imported",NA,NA,NA
"Horse mackerel, Atlantic",0.0143511111528684,"farmed",0,8511.4663735,"Horse mackerel, Atlantic_farmed",NA,NA,NA
"Lemon Sole",0,"wild",2008.8293704,2008.8293704,"Lemon Sole_wild",NA,NA,NA
"Lemon Sole",0,"imported",0,2008.8293704,"Lemon Sole_imported",NA,NA,NA
"Lemon Sole",0,"farmed",0,2008.8293704,"Lemon Sole_farmed",NA,NA,NA
"Ling",0.0658763200094118,"wild",5854.140376,6266.986376,"Ling_wild","Wild",3.1,142.733014498516
"Ling",0.0658763200094118,"imported",412.846,6266.986376,"Ling_imported",NA,NA,NA
"Ling",0.0658763200094118,"farmed",0,6266.986376,"Ling_farmed",NA,NA,NA
"Lobster Homarus spp",0.343429372132207,"wild",3265.2475764,4973.1855764,"Lobster Homarus spp_wild",NA,NA,NA
"Lobster Homarus spp",0.343429372132207,"imported",1707.938,4973.1855764,"Lobster Homarus spp_imported",NA,NA,NA
"Lobster Homarus spp",0.343429372132207,"farmed",0,4973.1855764,"Lobster Homarus spp_farmed",NA,NA,NA
"Lobster, Norway",0.110336763561087,"wild",26472.9987775,29756.2017775,"Lobster, Norway_wild","Wild",15.25,158.700251032416
"Lobster, Norway",0.110336763561087,"imported",3283.203,29756.2017775,"Lobster, Norway_imported",NA,NA,NA
"Lobster, Norway",0.110336763561087,"farmed",0,29756.2017775,"Lobster, Norway_farmed",NA,NA,NA
"Mackerel",0.126714472288429,"wild",138928.138684,159086.729684,"Mackerel_wild","Wild",0.25,223.763779893981
"Mackerel",0.126714472288429,"imported",20158.591,159086.729684,"Mackerel_imported",NA,NA,NA
"Mackerel",0.126714472288429,"farmed",0,159086.729684,"Mackerel_farmed",NA,NA,NA
"Megrim",0.0043667674225163,"wild",4649.1959111,4669.5869111,"Megrim_wild",NA,NA,NA
"Megrim",0.0043667674225163,"imported",20.391,4669.5869111,"Megrim_imported",NA,NA,NA
"Megrim",0.0043667674225163,"farmed",0,4669.5869111,"Megrim_farmed",NA,NA,NA
"Monk",0.0937103872634155,"wild",17411.5687275,19211.9257275,"Monk_wild",NA,NA,NA
"Monk",0.0937103872634155,"imported",1800.357,19211.9257275,"Monk_imported",NA,NA,NA
"Monk",0.0937103872634155,"farmed",0,19211.9257275,"Monk_farmed",NA,NA,NA
"Pilchards",0,"wild",7052.954,7052.954,"Pilchards_wild",NA,NA,NA
"Pilchards",0,"imported",0,7052.954,"Pilchards_imported",NA,NA,NA
"Pilchards",0,"farmed",0,7052.954,"Pilchards_farmed",NA,NA,NA
"Plaice, European",0.191740270640497,"wild",9746.4292286,12058.5362286,"Plaice, European_wild",NA,NA,NA
"Plaice, European",0.191740270640497,"imported",2312.107,12058.5362286,"Plaice, European_imported",NA,NA,NA
"Plaice, European",0.191740270640497,"farmed",0,12058.5362286,"Plaice, European_farmed",NA,NA,NA
"Pollack",0.224176427418687,"wild",1497.2096991,1929.8326991,"Pollack_wild",NA,NA,NA
"Pollack",0.224176427418687,"imported",432.623,1929.8326991,"Pollack_imported",NA,NA,NA
"Pollack",0.224176427418687,"farmed",0,1929.8326991,"Pollack_farmed",NA,NA,NA
"Pouting (Bib)",0,"wild",705.286971,705.286971,"Pouting (Bib)_wild",NA,NA,NA
"Pouting (Bib)",0,"imported",0,705.286971,"Pouting (Bib)_imported",NA,NA,NA
"Pouting (Bib)",0,"farmed",0,705.286971,"Pouting (Bib)_farmed",NA,NA,NA
"Ray",0.157975628173123,"wild",2162.8867044,2568.6747044,"Ray_wild",NA,NA,NA
"Ray",0.157975628173123,"imported",405.788,2568.6747044,"Ray_imported",NA,NA,NA
"Ray",0.157975628173123,"farmed",0,2568.6747044,"Ray_farmed",NA,NA,NA
"Razor Clam",0,"wild",888.2326,888.2326,"Razor Clam_wild",NA,NA,NA
"Razor Clam",0,"imported",0,888.2326,"Razor Clam_imported",NA,NA,NA
"Razor Clam",0,"farmed",0,888.2326,"Razor Clam_farmed",NA,NA,NA
"Red Mullet",0,"wild",642.8318979,642.8318979,"Red Mullet_wild",NA,NA,NA
"Red Mullet",0,"imported",0,642.8318979,"Red Mullet_imported",NA,NA,NA
"Red Mullet",0,"farmed",0,642.8318979,"Red Mullet_farmed",NA,NA,NA
"Saithe (=Coalfish)",0.107072421471595,"wild",15232.9732972,17059.5842972,"Saithe (=Coalfish)_wild",NA,NA,NA
"Saithe (=Coalfish)",0.107072421471595,"imported",1826.611,17059.5842972,"Saithe (=Coalfish)_imported",NA,NA,NA
"Saithe (=Coalfish)",0.107072421471595,"farmed",0,17059.5842972,"Saithe (=Coalfish)_farmed",NA,NA,NA
"Sand Eels",0,"wild",1068.633,1068.633,"Sand Eels_wild",NA,NA,NA
"Sand Eels",0,"imported",0,1068.633,"Sand Eels_imported",NA,NA,NA
"Sand Eels",0,"farmed",0,1068.633,"Sand Eels_farmed",NA,NA,NA
"Scallop",0.0415322023706882,"wild",28293.0593449,29528.7013449,"Scallop_wild","Wild",2.2,167.874966039701
"Scallop",0.0415322023706882,"imported",1226.392,29528.7013449,"Scallop_imported",NA,NA,NA
"Scallop",0.0415322023706882,"farmed",9.25,29528.7013449,"Scallop_farmed",NA,NA,NA
"Seabass, European",0.959211819947143,"wild",413.7650063,10144.2380063,"Seabass, European_wild",NA,NA,NA
"Seabass, European",0.959211819947143,"imported",9730.473,10144.2380063,"Seabass, European_imported",NA,NA,NA
"Seabass, European",0.959211819947143,"farmed",0,10144.2380063,"Seabass, European_farmed",NA,NA,NA
"Shrimps, miscellaneous",0,"wild",350.938864,350.938864,"Shrimps, miscellaneous_wild",NA,NA,NA
"Shrimps, miscellaneous",0,"imported",0,350.938864,"Shrimps, miscellaneous_imported",NA,NA,NA
"Shrimps, miscellaneous",0,"farmed",0,350.938864,"Shrimps, miscellaneous_farmed",NA,NA,NA
"Sole, common",0.194921394896271,"wild",1757.4601403,2182.9671403,"Sole, common_wild",NA,NA,NA
"Sole, common",0.194921394896271,"imported",425.507,2182.9671403,"Sole, common_imported",NA,NA,NA
"Sole, common",0.194921394896271,"farmed",0,2182.9671403,"Sole, common_farmed",NA,NA,NA
"Sprat (=Brisling)",0.44353070766256,"wild",4337.529,7794.732,"Sprat (=Brisling)_wild",NA,NA,NA
"Sprat (=Brisling)",0.44353070766256,"imported",3457.203,7794.732,"Sprat (=Brisling)_imported",NA,NA,NA
"Sprat (=Brisling)",0.44353070766256,"farmed",0,7794.732,"Sprat (=Brisling)_farmed",NA,NA,NA
"Squid",0.773602629675847,"wild",6242.8174919,27574.6024919,"Squid_wild",NA,NA,NA
"Squid",0.773602629675847,"imported",21331.785,27574.6024919,"Squid_imported",NA,NA,NA
"Squid",0.773602629675847,"farmed",0,27574.6024919,"Squid_farmed",NA,NA,NA
"Turbot",0.194873181322507,"wild",791.405217099,982.957217099,"Turbot_wild",NA,NA,NA
"Turbot",0.194873181322507,"imported",191.552,982.957217099,"Turbot_imported",NA,NA,NA
"Turbot",0.194873181322507,"farmed",0,982.957217099,"Turbot_farmed","Farmed",20.4,148.202334815674
"Whelks",0,"wild",20186.501327,20186.501327,"Whelks_wild",NA,NA,NA
"Whelks",0,"imported",0,20186.501327,"Whelks_imported",NA,NA,NA
"Whelks",0,"farmed",0,20186.501327,"Whelks_farmed",NA,NA,NA
"Whiting",0.0766701701019887,"wild",12900.6967425,13971.9267425,"Whiting_wild",NA,NA,NA
"Whiting",0.0766701701019887,"imported",1071.23,13971.9267425,"Whiting_imported",NA,NA,NA
"Whiting",0.0766701701019887,"farmed",0,13971.9267425,"Whiting_farmed",NA,NA,NA
"Witch",0,"wild",1214.1457972,1214.1457972,"Witch_wild",NA,NA,NA
"Witch",0,"imported",0,1214.1457972,"Witch_imported",NA,NA,NA
"Witch",0,"farmed",0,1214.1457972,"Witch_farmed",NA,NA,NA
"Abalone",1,"wild",0,7.861,"Abalone_wild",NA,NA,NA
"Abalone",1,"imported",7.861,7.861,"Abalone_imported",NA,NA,NA
"Abalone",1,"farmed",0,7.861,"Abalone_farmed",NA,NA,NA
"Alaska pollock",1,"wild",0,31194.665,"Alaska pollock_wild","Wild",1.4,116.189119231344
"Alaska pollock",1,"imported",31194.665,31194.665,"Alaska pollock_imported",NA,NA,NA
"Alaska pollock",1,"farmed",0,31194.665,"Alaska pollock_farmed",NA,NA,NA
"Anchovy",1,"wild",0,1925.387,"Anchovy_wild",NA,NA,NA
"Anchovy",1,"imported",1925.387,1925.387,"Anchovy_imported",NA,NA,NA
"Anchovy",1,"farmed",0,1925.387,"Anchovy_farmed",NA,NA,NA
"Blue whiting",1,"wild",0,0.089,"Blue whiting_wild",NA,NA,NA
"Blue whiting",1,"imported",0.089,0.089,"Blue whiting_imported",NA,NA,NA
"Blue whiting",1,"farmed",0,0.089,"Blue whiting_farmed",NA,NA,NA
"Bream",0.998171309444091,"wild",0,4721.958,"Bream_wild",NA,NA,NA
"Bream",0.998171309444091,"imported",4713.323,4721.958,"Bream_imported",NA,NA,NA
"Bream",0.998171309444091,"farmed",8.635,4721.958,"Bream_farmed",NA,NA,NA
"Carp",0.944016726962087,"wild",0,4733.914,"Carp_wild",NA,NA,NA
"Carp",0.944016726962087,"imported",4468.894,4733.914,"Carp_imported",NA,NA,NA
"Carp",0.944016726962087,"farmed",265.02,4733.914,"Carp_farmed",NA,NA,NA
"Caviar, livers and roes",1,"wild",0,928.774,"Caviar, livers and roes_wild",NA,NA,NA
"Caviar, livers and roes",1,"imported",928.774,928.774,"Caviar, livers and roes_imported",NA,NA,NA
"Caviar, livers and roes",1,"farmed",0,928.774,"Caviar, livers and roes_farmed",NA,NA,NA
"Clam",0.999340917806046,"wild",0,2420.032,"Clam_wild",NA,NA,NA
"Clam",0.999340917806046,"imported",2418.437,2420.032,"Clam_imported",NA,NA,NA
"Clam",0.999340917806046,"farmed",1.595,2420.032,"Clam_farmed",NA,NA,NA
"Cobia",1,"wild",0,4.72,"Cobia_wild",NA,NA,NA
"Cobia",1,"imported",4.72,4.72,"Cobia_imported",NA,NA,NA
"Cobia",1,"farmed",0,4.72,"Cobia_farmed","Farmed",5,143.81191557242
"Cusk-eel",1,"wild",0,0.674,"Cusk-eel_wild",NA,NA,NA
"Cusk-eel",1,"imported",0.674,0.674,"Cusk-eel_imported",NA,NA,NA
"Cusk-eel",1,"farmed",0,0.674,"Cusk-eel_farmed",NA,NA,NA
"Eel",1,"wild",0,271.478,"Eel_wild",NA,NA,NA
"Eel",1,"imported",271.478,271.478,"Eel_imported",NA,NA,NA
"Eel",1,"farmed",0,271.478,"Eel_farmed",NA,NA,NA
"Flounder, other",1,"wild",0,0.005,"Flounder, other_wild",NA,NA,NA
"Flounder, other",1,"imported",0.005,0.005,"Flounder, other_imported",NA,NA,NA
"Flounder, other",1,"farmed",0,0.005,"Flounder, other_farmed",NA,NA,NA
"Freshwater crayfish",1,"wild",0,526.034,"Freshwater crayfish_wild",NA,NA,NA
"Freshwater crayfish",1,"imported",526.034,526.034,"Freshwater crayfish_imported",NA,NA,NA
"Freshwater crayfish",1,"farmed",0,526.034,"Freshwater crayfish_farmed",NA,NA,NA
"Grenadier",1,"wild",0,398.411,"Grenadier_wild",NA,NA,NA
"Grenadier",1,"imported",398.411,398.411,"Grenadier_imported",NA,NA,NA
"Grenadier",1,"farmed",0,398.411,"Grenadier_farmed",NA,NA,NA
"Halibut, Atlantic",0.889708058126543,"wild",0,557.611,"Halibut, Atlantic_wild",NA,NA,NA
"Halibut, Atlantic",0.889708058126543,"imported",496.111,557.611,"Halibut, Atlantic_imported",NA,NA,NA
"Halibut, Atlantic",0.889708058126543,"farmed",61.5,557.611,"Halibut, Atlantic_farmed",NA,NA,NA
"Halibut, Greenland",1,"wild",0,709.756,"Halibut, Greenland_wild",NA,NA,NA
"Halibut, Greenland",1,"imported",709.756,709.756,"Halibut, Greenland_imported",NA,NA,NA
"Halibut, Greenland",1,"farmed",0,709.756,"Halibut, Greenland_farmed",NA,NA,NA
"Halibut, other",1,"wild",0,32.454,"Halibut, other_wild",NA,NA,NA
"Halibut, other",1,"imported",32.454,32.454,"Halibut, other_imported",NA,NA,NA
"Halibut, other",1,"farmed",0,32.454,"Halibut, other_farmed",NA,NA,NA
"Horse mackerel, other",1,"wild",0,346.315,"Horse mackerel, other_wild",NA,NA,NA
"Horse mackerel, other",1,"imported",346.315,346.315,"Horse mackerel, other_imported",NA,NA,NA
"Horse mackerel, other",1,"farmed",0,346.315,"Horse mackerel, other_farmed",NA,NA,NA
"Jellyfish",1,"wild",0,41.017,"Jellyfish_wild",NA,NA,NA
"Jellyfish",1,"imported",41.017,41.017,"Jellyfish_imported",NA,NA,NA
"Jellyfish",1,"farmed",0,41.017,"Jellyfish_farmed",NA,NA,NA
"Miscellaneous small pelagics",1,"wild",0,907.743,"Miscellaneous small pelagics_wild",NA,NA,NA
"Miscellaneous small pelagics",1,"imported",907.743,907.743,"Miscellaneous small pelagics_imported",NA,NA,NA
"Miscellaneous small pelagics",1,"farmed",0,907.743,"Miscellaneous small pelagics_farmed",NA,NA,NA
"Molluscs and aquatic invertebrates, other",1,"wild",0,1247.694,"Molluscs and aquatic invertebrates, other_wild",NA,NA,NA
"Molluscs and aquatic invertebrates, other",1,"imported",1247.694,1247.694,"Molluscs and aquatic invertebrates, other_imported",NA,NA,NA
"Molluscs and aquatic invertebrates, other",1,"farmed",0,1247.694,"Molluscs and aquatic invertebrates, other_farmed",NA,NA,NA
"Nile perch",1,"wild",0,2.134,"Nile perch_wild",NA,NA,NA
"Nile perch",1,"imported",2.134,2.134,"Nile perch_imported",NA,NA,NA
"Nile perch",1,"farmed",0,2.134,"Nile perch_farmed",NA,NA,NA
"Octopus",1,"wild",0,1198.933,"Octopus_wild",NA,NA,NA
"Octopus",1,"imported",1198.933,1198.933,"Octopus_imported",NA,NA,NA
"Octopus",1,"farmed",0,1198.933,"Octopus_farmed",NA,NA,NA
"Other cephalopods",1,"wild",0,8550.379,"Other cephalopods_wild",NA,NA,NA
"Other cephalopods",1,"imported",8550.379,8550.379,"Other cephalopods_imported",NA,NA,NA
"Other cephalopods",1,"farmed",0,8550.379,"Other cephalopods_farmed",NA,NA,NA
"Other crustaceans",0.998460853456758,"wild",0,909.595,"Other crustaceans_wild",NA,NA,NA
"Other crustaceans",0.998460853456758,"imported",908.195,909.595,"Other crustaceans_imported",NA,NA,NA
"Other crustaceans",0.998460853456758,"farmed",1.4,909.595,"Other crustaceans_farmed",NA,NA,NA
"Other flatfish",1,"wild",0,2215.588,"Other flatfish_wild",NA,NA,NA
"Other flatfish",1,"imported",2215.588,2215.588,"Other flatfish_imported",NA,NA,NA
"Other flatfish",1,"farmed",0,2215.588,"Other flatfish_farmed",NA,NA,NA
"Other freshwater fish",1,"wild",0,5521.938,"Other freshwater fish_wild",NA,NA,NA
"Other freshwater fish",1,"imported",5521.938,5521.938,"Other freshwater fish_imported",NA,NA,NA
"Other freshwater fish",1,"farmed",0,5521.938,"Other freshwater fish_farmed",NA,NA,NA
"Other groundfish",1,"wild",0,7146.977,"Other groundfish_wild",NA,NA,NA
"Other groundfish",1,"imported",7146.977,7146.977,"Other groundfish_imported",NA,NA,NA
"Other groundfish",1,"farmed",0,7146.977,"Other groundfish_farmed",NA,NA,NA
"Other marine fish",1,"wild",0,60491.59,"Other marine fish_wild",NA,NA,NA
"Other marine fish",1,"imported",60491.59,60491.59,"Other marine fish_imported",NA,NA,NA
"Other marine fish",1,"farmed",0,60491.59,"Other marine fish_farmed",NA,NA,NA
"Other non-food use",1,"wild",0,1248.652,"Other non-food use_wild",NA,NA,NA
"Other non-food use",1,"imported",1248.652,1248.652,"Other non-food use_imported",NA,NA,NA
"Other non-food use",1,"farmed",0,1248.652,"Other non-food use_farmed",NA,NA,NA
"Other products",1,"wild",0,308.425,"Other products_wild",NA,NA,NA
"Other products",1,"imported",308.425,308.425,"Other products_imported",NA,NA,NA
"Other products",1,"farmed",0,308.425,"Other products_farmed",NA,NA,NA
"Other salmonids",0.205778746354041,"wild",0,519.1206667,"Other salmonids_wild",NA,NA,NA
"Other salmonids",0.205778746354041,"imported",106.824,519.1206667,"Other salmonids_imported",NA,NA,NA
"Other salmonids",0.205778746354041,"farmed",412.2966667,519.1206667,"Other salmonids_farmed",NA,NA,NA
"Other sharks",1,"wild",0,100.034,"Other sharks_wild",NA,NA,NA
"Other sharks",1,"imported",100.034,100.034,"Other sharks_imported",NA,NA,NA
"Other sharks",1,"farmed",0,100.034,"Other sharks_farmed",NA,NA,NA
"Oyster",0.911706377920456,"wild",0,250.48525,"Oyster_wild",NA,NA,NA
"Oyster",0.911706377920456,"imported",228.369,250.48525,"Oyster_imported",NA,NA,NA
"Oyster",0.911706377920456,"farmed",22.11625,250.48525,"Oyster_farmed",NA,NA,NA
"Redfish",1,"wild",0,3316.335,"Redfish_wild",NA,NA,NA
"Redfish",1,"imported",3316.335,3316.335,"Redfish_imported",NA,NA,NA
"Redfish",1,"farmed",0,3316.335,"Redfish_farmed",NA,NA,NA
"Rock lobster and sea crawfish",1,"wild",0,648.714,"Rock lobster and sea crawfish_wild",NA,NA,NA
"Rock lobster and sea crawfish",1,"imported",648.714,648.714,"Rock lobster and sea crawfish_imported",NA,NA,NA
"Rock lobster and sea crawfish",1,"farmed",0,648.714,"Rock lobster and sea crawfish_farmed",NA,NA,NA
"Salmon",0.372636438318612,"wild",0,271378.839,"Salmon_wild",NA,NA,NA
"Salmon",0.372636438318612,"imported",101125.644,271378.839,"Salmon_imported",NA,NA,NA
"Salmon",0.372636438318612,"farmed",170253.195,271378.839,"Salmon_farmed","Farmed",4.5,180.210832483952
"Sardine",1,"wild",0,13399.371,"Sardine_wild",NA,NA,NA
"Sardine",1,"imported",13399.371,13399.371,"Sardine_imported",NA,NA,NA
"Sardine",1,"farmed",0,13399.371,"Sardine_farmed",NA,NA,NA
"Sea cucumber",1,"wild",0,0.092,"Sea cucumber_wild",NA,NA,NA
"Sea cucumber",1,"imported",0.092,0.092,"Sea cucumber_imported",NA,NA,NA
"Sea cucumber",1,"farmed",0,0.092,"Sea cucumber_farmed",NA,NA,NA
"Sea mussels",0.261855822475536,"wild",0,21799.542,"Sea mussels_wild","Wild",0.1,208.342879828571
"Sea mussels",0.261855822475536,"imported",5708.337,21799.542,"Sea mussels_imported",NA,NA,NA
"Sea mussels",0.261855822475536,"farmed",16091.205,21799.542,"Sea mussels_farmed","Farmed",0.11,208.342879828571
"Sea urchin",1,"wild",0,63.746,"Sea urchin_wild",NA,NA,NA
"Sea urchin",1,"imported",63.746,63.746,"Sea urchin_imported",NA,NA,NA
"Sea urchin",1,"farmed",0,63.746,"Sea urchin_farmed",NA,NA,NA
"Seabass, other",1,"wild",0,201.29,"Seabass, other_wild",NA,NA,NA
"Seabass, other",1,"imported",201.29,201.29,"Seabass, other_imported",NA,NA,NA
"Seabass, other",1,"farmed",0,201.29,"Seabass, other_farmed",NA,NA,NA
"Shrimp, miscellaneous",1,"wild",0,43529.59,"Shrimp, miscellaneous_wild","Wild",13.2125,173.337125292672
"Shrimp, miscellaneous",1,"imported",43529.59,43529.59,"Shrimp, miscellaneous_imported",NA,NA,NA
"Shrimp, miscellaneous",1,"farmed",0,43529.59,"Shrimp, miscellaneous_farmed","Farmed",4.54333333333333,178.799284545643
"Shrimp, warmwater",1,"wild",0,34912.551,"Shrimp, warmwater_wild","Wild",15.61,172.244693442078
"Shrimp, warmwater",1,"imported",34912.551,34912.551,"Shrimp, warmwater_imported",NA,NA,NA
"Shrimp, warmwater",1,"farmed",0,34912.551,"Shrimp, warmwater_farmed","Farmed",4.64,178.799284545643
"Surimi",1,"wild",0,13826.853,"Surimi_wild",NA,NA,NA
"Surimi",1,"imported",13826.853,13826.853,"Surimi_imported",NA,NA,NA
"Surimi",1,"farmed",0,13826.853,"Surimi_farmed",NA,NA,NA
"Swordfish",1,"wild",0,516.51,"Swordfish_wild","Wild",9.35,140.463166655847
"Swordfish",1,"imported",516.51,516.51,"Swordfish_imported",NA,NA,NA
"Swordfish",1,"farmed",0,516.51,"Swordfish_farmed",NA,NA,NA
"Tilapia",0.99903917875713,"wild",0,3868.218666667,"Tilapia_wild",NA,NA,NA
"Tilapia",0.99903917875713,"imported",3864.502,3868.218666667,"Tilapia_imported",NA,NA,NA
"Tilapia",0.99903917875713,"farmed",3.716666667,3868.218666667,"Tilapia_farmed",NA,NA,NA
"Toothfish",1,"wild",0,125.377,"Toothfish_wild",NA,NA,NA
"Toothfish",1,"imported",125.377,125.377,"Toothfish_imported",NA,NA,NA
"Toothfish",1,"farmed",0,125.377,"Toothfish_farmed",NA,NA,NA
"Trout",0.102512868741842,"wild",0,15244.83725,"Trout_wild",NA,NA,NA
"Trout",0.102512868741842,"imported",1562.792,15244.83725,"Trout_imported",NA,NA,NA
"Trout",0.102512868741842,"farmed",13682.04525,15244.83725,"Trout_farmed","Farmed",5.3,221.278129638065
"Tuna, albacore",1,"wild",0,2.38,"Tuna, albacore_wild",NA,NA,NA
"Tuna, albacore",1,"imported",2.38,2.38,"Tuna, albacore_imported",NA,NA,NA
"Tuna, albacore",1,"farmed",0,2.38,"Tuna, albacore_farmed",NA,NA,NA
"Tuna, bigeye",1,"wild",0,69.256,"Tuna, bigeye_wild",NA,NA,NA
"Tuna, bigeye",1,"imported",69.256,69.256,"Tuna, bigeye_imported",NA,NA,NA
"Tuna, bigeye",1,"farmed",0,69.256,"Tuna, bigeye_farmed",NA,NA,NA
"Tuna, bluefin",1,"wild",0,157.899,"Tuna, bluefin_wild",NA,NA,NA
"Tuna, bluefin",1,"imported",157.899,157.899,"Tuna, bluefin_imported",NA,NA,NA
"Tuna, bluefin",1,"farmed",0,157.899,"Tuna, bluefin_farmed",NA,NA,NA
"Tuna, miscellaneous",1,"wild",0,6557.869,"Tuna, miscellaneous_wild",NA,NA,NA
"Tuna, miscellaneous",1,"imported",6557.869,6557.869,"Tuna, miscellaneous_imported",NA,NA,NA
"Tuna, miscellaneous",1,"farmed",0,6557.869,"Tuna, miscellaneous_farmed",NA,NA,NA
"Tuna, skipjack",1,"wild",0,94728.569,"Tuna, skipjack_wild","Wild",3.95,195.209702749183
"Tuna, skipjack",1,"imported",94728.569,94728.569,"Tuna, skipjack_imported",NA,NA,NA
"Tuna, skipjack",1,"farmed",0,94728.569,"Tuna, skipjack_farmed",NA,NA,NA
"Tuna, yellowfin",1,"wild",0,9153.731,"Tuna, yellowfin_wild",NA,NA,NA
"Tuna, yellowfin",1,"imported",9153.731,9153.731,"Tuna, yellowfin_imported",NA,NA,NA
"Tuna, yellowfin",1,"farmed",0,9153.731,"Tuna, yellowfin_farmed",NA,NA,NA
"Arctic char",0,"wild",0,12.255,"Arctic char_wild",NA,NA,NA
"Arctic char",0,"imported",0,12.255,"Arctic char_imported",NA,NA,NA
"Arctic char",0,"farmed",12.255,12.255,"Arctic char_farmed","Farmed",3.05,159.089499283169
"Ballan wrasse",0,"wild",0,3.5,"Ballan wrasse_wild",NA,NA,NA
"Ballan wrasse",0,"imported",0,3.5,"Ballan wrasse_imported",NA,NA,NA
"Ballan wrasse",0,"farmed",3.5,3.5,"Ballan wrasse_farmed",NA,NA,NA
"Barbel",0,"wild",0,0.835,"Barbel_wild",NA,NA,NA
"Barbel",0,"imported",0,0.835,"Barbel_imported",NA,NA,NA
"Barbel",0,"farmed",0.835,0.835,"Barbel_farmed",NA,NA,NA
"Chub",0,"wild",0,0.75,"Chub_wild",NA,NA,NA
"Chub",0,"imported",0,0.75,"Chub_imported",NA,NA,NA
"Chub",0,"farmed",0.75,0.75,"Chub_farmed",NA,NA,NA
"Common edible cockle",0,"wild",0,3177.4095,"Common edible cockle_wild",NA,NA,NA
"Common edible cockle",0,"imported",0,3177.4095,"Common edible cockle_imported",NA,NA,NA
"Common edible cockle",0,"farmed",3177.4095,3177.4095,"Common edible cockle_farmed",NA,NA,NA
